"V1";"V2";"V3";"V4";"V5";"V6";"V7"
"1";"Meso in izdelki";"E(kCal)";"Voda(g)";"Belj. (g)";"Maš.(g)";"Hole.(g)";"Og.H.(g)"
"2";"Govedina, mastna";"326";"52,0";"15,8";"29,2";"65,0";"0"
"3";"Teletina, nemastna";"113";"72,0";"21,3";"3,1";"68,0";"0"
"4";"Teletina, mastna";"204";"66,0";"18,1";"14,6";"–";"0"
"5";"Svinjina, nemastna";"161";"70,0";"20,0";"9";"60,0";"0"
"6";"Svinjina, mastna";"371";"50,0";"14,0";"35";"60,0";"0"
"7";"Konjsko m., sr. mastno";"110";"75,0";"20,9";"2,8";"60,0";"0"
"8";"Pašteta, jetrna";"325";"53,0";"14,0";"29";"150,0";"2"
"9";"Hamburger (govedina)";"360";"49,0";"14,0";"32";"76,0";"4"
"10";"Hrenovke (gov. + svinj.)";"320";"54,0";"11,1";"28,9";"50,0";"2,2"
"11";"Mortadela";"415";"41,0";"13,9";"39,9";"–";"0"
"12";"Slanina, suha, mastna";"781";"7,0";"4,0";"85";"50,0";"0"
"13";"Šunka, dimlj., sušena";"434";"33,0";"22,8";"38,1";"92,0";"0"
"14";"Šunka, nem., prešana";"129";"72,0";"15,6";"7,1";"–";"0,8"
"15";"Vratovina, sušena";"450";"23,0";"20,8";"40,2";"–";"1, 1"
"16";"Kokoš, cela";"186";"66,0";"21,5";"11";"101,0";"0,2"
"17";"Pišcanec, cel";"230";"64,0";"17,6";"17,7";"98,0";"0"
"18";"Pišcanec, belo meso";"116";"74,0";"21,8";"3,2";"69,0";"0"
"19";"Pišcanec, temno meso";"126";"74,0";"19,1";"5,5";"110,0";"0"
"20";"Puran, cel";"143";"72,0";"20,0";"7";"60,0";"0"
"21";"Puran, belo meso";"134";"70,0";"22,0";"2";"82,0";"0"
"22";"Puran, temno meso";"186";"69,0";"20,9";"11,2";"82,0";"0"
"23";"Gos, sr. mastna, cela";"198";"54,0";"21,8";"12,3";"75,0";"0"
"24";"Raca, sr. mastna, cela";"341";"50,0";"20,0";"29";"80,0";"0"
"25";"Hrenovke, pišcancje";"258";"57,0";"12,9";"19,6";"100,0";"6,8"
