"V1";"V2";"V3";"V4";"V5";"V6";"V7"
"1";"Mleko in izdelki";"E(kCal)";"Voda(g)";"Belj. (g)";"Maš.(g)";"Hole.(g)";"Og.H.(g)"
"2";"Mleko, kravje, polnom.";"64";"88,0";"3,3";"3,7";"14,0";"4,7"
"3";"Mleko, kravje, 3,2 % m. m.";"61";"88,0";"3,3";"3,2";"13,0";"4,7"
"4";"Mleko, kravje, 1,4 % m. m.";"45";"88,0";"3,3";"1,4";"–";"4,9"
"5";"Jogurt, 3,2 % m. m.";"61";"88,0";"3,5";"3,2";"13,0";"4,7"
"6";"Jogurt Ego, 1,6 % m. m.";"43";"75,0";"3,3";"1,6";"–";"3,9"
"7";"Jogurt, sadni, posn. ml.";"99";"75,0";"1,0";"1,1";"4,0";"18,6"
"8";"Kefir";"60";"99,0";"3,0";"4";"10,0";"3"
"9";"Smetana, sladka 30 % m. m.";"293";"64,0";"22,0";"30";"111,0";"1"
"10";"Mlecni sladoled";"154";"68,0";"3,0";"6";"10,0";"22"
"11";"Cokoladno ml., polnom.";"92";"81,0";"4,0";"4";"14,0";"10"
"12";"Sir sveži, skuta";"95";"79,0";"14,0";"3";"10,0";"3"
"13";"Sir sveži, skuta posn.";"72";"82,0";"12,4";"1,4";"4,0";"2,7"
"14";"Sirni namaz, 20 % m. m.";"174";"65,0";"20,0";"10";"35,0";"1"
"15";"Sir, ementalec";"386";"36,0";"30,0";"30";"92,0";"0"
"16";"Sir, edamec";"345";"40,0";"30,0";"25";"83,0";"0"
"17";"Sir, gauda";"392";"37,0";"26,0";"32";"105,0";"0"
"18";"Sir, mozzarella";"224";"60,0";"19,9";"16,1";"97,0";"0"
"19";"Sir, gorgonzola";"345";"13,0";"22,0";"28,6";"87,0";"0"
"20";"Sir, parmezan";"411";"26,0";"40,0";"27";"80,0";"2"
"21";"Sir, ovcji";"477";"28,8";"25,6";"40";"–";"0"
