"V1";"V2";"V3";"V4";"V5";"V6";"V7"
"1";"Pijace";"E(kCal)";"Voda(g)";"Belj. (g)";"Maš.(g)";"Hole.(g)";"Og.H.(g)"
"2";"Pesin sok";"36";"90,0";"1,0";"0";"0,0";"8"
"3";"Paradižnikov sok";"20";"94,0";"1,0";"0";"0,0";"4"
"4";"Ananasov, konzer., sok.";"53";"86,0";"0,4";"0,1";"0,0";"13,4"
"5";"Borovnicev sok";"45";"87,0";"0,1";"0";"0,0";"11,1"
"6";"Breskov sok";"48";"87,0";"0,3";"0";"0,0";"11,7"
"7";"Pomarancni, sveži sok";"45";"88,0";"0,7";"0,2";"0,0";"10,4"
"8";"Pomarancni, sladkani sok";"51";"96,0";"0,7";"0,1";"0,0";"12,8"
"9";"Pivo";"43";"92,0";"0,3";"0";"0,0";"3,6"
"10";"Vino, belo, 12 % alk.";"85";"88,0";"0,1";"0";"0,0";"3,4"
"11";"Vino, rdece, 12 % alk.";"80";"87,0";"0,2";"0";"0,0";"2,5"
"12";"Vino, desertno, sladko";"151";"76,0";"0,1";"0";"0,0";"11,4"
