"Recept";"Sestavine";"Kolicina"
"1";"Kuhan krompir v oblicah";"Krompir";"1000"
"2";"Kuhan krompir v oblicah";"Olje";"20"
"3";"Kuhan krompir v oblicah";"sol";"15"
"4";"Strocji fižol s paradižniki";"Fižol, sveži";"300"
"5";"Strocji fižol s paradižniki";"Paradižnik";"150"
"6";"Strocji fižol s paradižniki";"Cebula, bela";"150"
"7";"Strocji fižol s paradižniki";"Cesen";"20"
"8";"Strocji fižol s paradižniki";"Peteršilj";"10"
"9";"Strocji fižol s paradižniki";"Olje";"20"
"10";"Strocji fižol s paradižniki";"Kis, balzamicni";"15"
"11";"Strocji fižol s paradižniki";"Sol";"5"
"12";"Strocji fižol s paradižniki";"Poper";"2"
"13";"Pišcancji casserole";"Pišcanec, belo meso";"800"
"14";"Pišcancji casserole";"Makaroni";"250"
"15";"Pišcancji casserole";"Brokoli";"250"
"16";"Pišcancji casserole";"Olje";"40"
"17";"Pišcancji casserole";"Grah, zrnje";"50"
"18";"Pišcancji casserole";"Cebula, bela";"150"
"19";"Pišcancji casserole";"Origano";"15"
"20";"Pišcancji casserole";"Sol";"5"
"21";"Pišcancji casserole";"Poper";"2"
"22";"Pišcancji casserole";"Sir, edamec";"200"
"23";"Pecene sardele";"Sardela";"1000"
"24";"Pecene sardele";"Sol";"2"
"25";"Pecene sardele";"Pšenicna m., bela";"150"
"26";"Pecene sardele";"Olje";"500"
"27";"Pecene sardele";"Limona";"100"
"28";"Losos s porovim pirejem";"Por";"200"
"29";"Losos s porovim pirejem";"Maslo";"50"
"30";"Losos s porovim pirejem";"Krompir";"700"
"31";"Losos s porovim pirejem";"Mleko";"200"
"32";"Losos s porovim pirejem";"Sladka smetana";"150"
"33";"Losos s porovim pirejem";"Losos";"600"
"34";"Losos s porovim pirejem";"Olje";"20"
"35";"Losos s porovim pirejem";"Cesen";"10"
"36";"Losos s porovim pirejem";"Rožmarin";"10"
"37";"Losos s porovim pirejem";"Limona";"100"
"38";"Losos s porovim pirejem";"Sol";"10"
"39";"Testo za palacinke";"Pšenicna m., bela";"100"
"40";"Testo za palacinke";"Sol";"5"
"41";"Testo za palacinke";"Jajce";"100"
"42";"Testo za palacinke";"Mleko";"300"
"43";"Testo za palacinke";"Olje";"10"
"44";"Sadni loncek z jogurtom";"Jabolko, celo";"250"
"45";"Sadni loncek z jogurtom";"Breskev";"250"
"46";"Sadni loncek z jogurtom";"Grozdje, crno";"200"
"47";"Sadni loncek z jogurtom";"Borovnice";"120"
"48";"Sadni loncek z jogurtom";"Orehi, suhi";"50"
"49";"Sadni loncek z jogurtom";"Jogurt, 3,2 % m. m.";"60"
"50";"Hrenovke s kruhom";"Kruh, koruzni";"800"
"51";"Hrenovke s kruhom";"Hrenovke (gov. + svinj.)";"400"
"52";"Hrenovke s kruhom";"Paradižnik, kecap";"10"
"53";"Mešana solata z jajcem";"Jajce";"200"
"54";"Mešana solata z jajcem";"Kis, balzamicni";"20"
"55";"Mešana solata z jajcem";"Olje";"20"
"56";"Mešana solata z jajcem";"Paradižnik";"300"
"57";"Mešana solata z jajcem";"Endivija";"400"
"58";"Mešana solata z jajcem";"Paprika, rumena";"400"
"59";"Narastek iz ovsene kaše";"Jabolko, celo";"300"
"60";"Narastek iz ovsene kaše";"Ovseni kosmici";"300"
"61";"Narastek iz ovsene kaše";"Mleko, kravje, 3,2 % m. m.";"20"
"62";"Narastek iz ovsene kaše";"Maslo";"1000"
"63";"Narastek iz ovsene kaše";"Sol";"10"
"64";"Narastek iz ovsene kaše";"Vanilin sladkor";"50"
"65";"Narastek iz ovsene kaše";"Jajce";"150"
"66";"Sendvic";"Solata, zelena";"200"
"67";"Sendvic";"Mortadela";"200"
"68";"Sendvic";"Sir, gauda";"200"
"69";"Sendvic";"Sirni namaz, 20 % m. m.";"100"
"70";"Sendvic";"Kruh, graham";"800"
