"V1";"V2";"V3";"V4";"V5";"V6";"V7"
"1";"Sadje";"E(kCal)";"Voda(g)";"Belj. (g)";"Maš.(g)";"Hole.(g)";"Og.H.(g)"
"2";"Grenivka";"28";"91,0";"0,0";"0";"0,0";"7"
"3";"Limona";"12";"91,0";"0,0";"0";"0,0";"3"
"4";"Mandarina";"34";"87,0";"0,9";"0";"0,0";"8"
"5";"Pomaranca";"35";"86,0";"0,9";"0";"0,0";"5,8"
"6";"Borovnice";"56";"85,0";"0,6";"0,6";"0,0";"14,3"
"7";"Grozdje, belo";"60";"79,0";"0,6";"0";"0,0";"15,3"
"8";"Grozdje, crno";"54";"84,0";"0,5";"0,1";"0,0";"13,5"
"9";"Jagode";"26";"89,0";"0,6";"0";"0,0";"6,2"
"10";"Maline";"25";"83,0";"0,9";"0";"0,0";"5,6"
"11";"Ribez, beli";"26";"83,0";"1,3";"0";"0,0";"5,6"
"12";"Ribez, crni";"28";"77,0";"0,9";"0";"0,0";"6,6"
"13";"Ribez, rdeci";"21";"83,0";"1,1";"0";"0,0";"4,4"
"14";"Robide";"29";"82,0";"1,3";"0";"0,0";"6,4"
"15";"Hruška, cela";"29";"60,0";"0,2";"0";"0,0";"7,6"
"16";"Jabolko, celo";"40";"87,0";"0,0";"0";"0,0";"10"
"17";"Breskev";"37";"86,0";"0,6";"0";"0,0";"9,1"
"18";"Marelica";"28";"86,0";"0,6";"0";"0,0";"6,7"
"19";"Nektarina";"50";"80,0";"0,9";"0";"0,0";"12,4"
"20";"Cešnje";"48";"86,0";"0,8";"0,1";"0,0";"11,7"
"21";"Višnje";"41";"84,0";"0,8";"0";"0,0";"10,2"
"22";"Slive";"38";"84,0";"0,6";"0";"0,0";"9,6"
"23";"Ananas";"46";"84,0";"0,5";"0";"0,0";"11,6"
"24";"Avokado";"126";"81,0";"2,0";"10";"0,0";"7"
"25";"Banane";"79";"71,0";"1,1";"0,3";"0,0";"19,2"
"26";"Kivi";"40";"83,0";"1,0";"0";"0,0";"9"
"27";"Dinja";"24";"94,0";"1,0";"0";"0,0";"5,3"
"28";"Fige, sveže";"41";"85,0";"1,3";"0";"0,0";"9,5"
"29";"Lubenica";"21";"94,0";"0,4";"0";"0,0";"5,3"
"30";"Datelj";"248";"15,0";"2,0";"0";"0,0";"63,9"
"31";"Rozine";"246";"21,0";"1,1";"0";"0,0";"64,4"
"32";"Fige";"213";"17,0";"3,6";"0";"0,0";"52,9"
"33";"Slive";"161";"23,0";"2,4";"0";"0,0";"40,1"
"34";"Šipek, mleti";"170";"10,0";"4,5";"1,5";"0,0";"79,2"
"35";"Arašidi, praženi";"570";"4,0";"24,3";"49";"0,0";"8,6"
"36";"Arašidi, surovi";"570";"4,0";"24,3";"49";"0,0";"8,6"
"37";"Lešnik, suhi";"701";"6,0";"14,0";"69";"0,0";"6"
"38";"Mandelj, suhi";"565";"5,0";"16,9";"53,5";"0,0";"4,3"
"39";"Orehi, suhi";"648";"5,0";"15,8";"61,4";"0,0";"8,8"
"40";"Kokosov oreh";"346";"42,0";"3,2";"36";"0,0";"3,7"
