"V1";"V2";"V3";"V4";"V5";"V6";"V7"
"2";"Pšenica, zrnje, suho";"326";"14,0";"10,2";"2";"0,0";"72"
"3";"Riž, neglaziran";"329";"12,0";"7,0";"2";"0,0";"72"
"4";"Riž, glaziran";"349";"13,0";"7,0";"1";"0,0";"78"
"5";"Koruza, zrnje, suho";"348";"14,0";"8,9";"3,9";"0,0";"72,2"
"6";"Proso, suho";"364";"12,0";"11,0";"4";"0,0";"71"
"7";"Oves, zrnje, suho";"308";"11,0";"6,9";"6,5";"0,0";"55,5"
"8";"Jecmenova kaša";"274";"13,0";"8,0";"2";"0,0";"74"
"9";"Pšenicna m., graham";"318";"14,0";"13,2";"2";"0,0";"65,8"
"10";"Pšenicna m., crna";"327";"14,0";"12,8";"2";"0,0";"68,8"
"11";"Pšenicna m., polbela";"337";"14,0";"11,3";"1,2";"0,0";"74,8"
"12";"Pšenicna m., bela";"350";"13,0";"9,8";"1,2";"0,0";"80,1"
"13";"Riževa moka";"349";"13,0";"7,0";"1";"0,0";"78"
"14";"Koruzna moka";"368";"12,0";"7,8";"2,6";"0,0";"76,8"
"15";"Ržena moka";"333";"13,0";"8,0";"1";"0,0";"73"
"16";"Pšenicni zdrob";"333";"13,0";"11,0";"1";"0,0";"70"
"17";"Koruzni zdrob";"368";"12,0";"7,8";"2,6";"0,0";"76,8"
"18";"Koruzni kosmici";"368";"3,0";"8,6";"1,6";"0,0";"85,1"
"19";"Ovseni kosmici";"372";"10,0";"8,0";"7,5";"0,0";"72,8"
"20";"Popcorn";"376";"4,0";"13,0";"4";"0,0";"72"
"21";"Pšenicni otrobi";"206";"8,0";"14,1";"5,5";"0,0";"26,8"
"22";"Makaroni";"350";"10,0";"12,0";"2";"0,0";"71"
"23";"Špageti";"378";"11,0";"13,6";"1";"0,0";"84"
"24";"Kruh, graham";"206";"40,0";"7,0";"2";"0,0";"40"
"25";"Kruh, pšenicni, beli";"234";"40,0";"8,0";"2";"0,0";"46"
"26";"Kruh, pšenicni, crni";"222";"40,0";"8,0";"2";"0,0";"43"
"27";"Prepecenec, beli";"354";"10,0";"11,6";"1,9";"0,0";"77,5"
"28";"Kruh, koruzni";"220";"54,0";"4,7";"8,8";"0,0";"31"
"29";"Biskvit, nemastni";"351";"12,0";"8,0";"3";"225,0";"73"
