"V1";"V2";"V3";"V4";"V5";"V6";"V7";"Kategorija"
"1";"Mleko, kravje, polnom.";64;88;3.3;3.7;14;4.7;"mlecni izdelki"
"2";"Mleko, kravje, 3,2 % m. m.";61;88;3.3;3.2;13;4.7;"mlecni izdelki"
"3";"Mleko, kravje, 1,4 % m. m.";45;88;3.3;1.4;NA;4.9;"mlecni izdelki"
"4";"Jogurt, 3,2 % m. m.";61;88;3.5;3.2;13;4.7;"mlecni izdelki"
"5";"Jogurt Ego, 1,6 % m. m.";43;75;3.3;1.6;NA;3.9;"mlecni izdelki"
"6";"Jogurt, sadni, posn. ml.";99;75;1;1.1;4;18.6;"mlecni izdelki"
"7";"Kefir";60;99;3;4;10;3;"mlecni izdelki"
"8";"Smetana, sladka 30 % m. m.";293;64;22;30;111;1;"mlecni izdelki"
"9";"Mlecni sladoled";154;68;3;6;10;22;"mlecni izdelki"
"10";"Cokoladno ml., polnom.";92;81;4;4;14;10;"mlecni izdelki"
"11";"Sir sveži, skuta";95;79;14;3;10;3;"mlecni izdelki"
"12";"Sir sveži, skuta posn.";72;82;12.4;1.4;4;2.7;"mlecni izdelki"
"13";"Sirni namaz, 20 % m. m.";174;65;20;10;35;1;"mlecni izdelki"
"14";"Sir, ementalec";386;36;30;30;92;0;"mlecni izdelki"
"15";"Sir, edamec";345;40;30;25;83;0;"mlecni izdelki"
"16";"Sir, gauda";392;37;26;32;105;0;"mlecni izdelki"
"17";"Sir, mozzarella";224;60;19.9;16.1;97;0;"mlecni izdelki"
"18";"Sir, gorgonzola";345;13;22;28.6;87;0;"mlecni izdelki"
"19";"Sir, parmezan";411;26;40;27;80;2;"mlecni izdelki"
"20";"Sir, ovcji";477;28.8;25.6;40;NA;0;"mlecni izdelki"
"21";"Govedina, mastna";326;52;15.8;29.2;65;0;"meso"
"22";"Teletina, nemastna";113;72;21.3;3.1;68;0;"meso"
"23";"Teletina, mastna";204;66;18.1;14.6;NA;0;"meso"
"24";"Svinjina, nemastna";161;70;20;9;60;0;"meso"
"25";"Svinjina, mastna";371;50;14;35;60;0;"meso"
"26";"Konjsko m., sr. mastno";110;75;20.9;2.8;60;0;"meso"
"27";"Pašteta, jetrna";325;53;14;29;150;2;"meso"
"28";"Hamburger (govedina)";360;49;14;32;76;4;"meso"
"29";"Hrenovke (gov. + svinj.)";320;54;11.1;28.9;50;2.2;"meso"
"30";"Mortadela";415;41;13.9;39.9;NA;0;"meso"
"31";"Slanina, suha, mastna";781;7;4;85;50;0;"meso"
"32";"Šunka, dimlj., sušena";434;33;22.8;38.1;92;0;"meso"
"33";"Šunka, nem., prešana";129;72;15.6;7.1;NA;0.8;"meso"
"34";"Vratovina, sušena";450;23;20.8;40.2;NA;1.1;"meso"
"35";"Kokoš, cela";186;66;21.5;11;101;0.2;"meso"
"36";"Pišcanec, cel";230;64;17.6;17.7;98;0;"meso"
"37";"Pišcanec, belo meso";116;74;21.8;3.2;69;0;"meso"
"38";"Pišcanec, temno meso";126;74;19.1;5.5;110;0;"meso"
"39";"Puran, cel";143;72;20;7;60;0;"meso"
"40";"Puran, belo meso";134;70;22;2;82;0;"meso"
"41";"Puran, temno meso";186;69;20.9;11.2;82;0;"meso"
"42";"Gos, sr. mastna, cela";198;54;21.8;12.3;75;0;"meso"
"43";"Raca, sr. mastna, cela";341;50;20;29;80;0;"meso"
"44";"Hrenovke, pišcancje";258;57;12.9;19.6;100;6.8;"meso"
"45";"Losos";217;64;22.5;13.4;35;0;"ribe"
"46";"Postrv, kalifornijska";195;66;21.5;11.4;55;0;"ribe"
"47";"Postrv, potocna";86;80;14.7;3;55;0;"ribe"
"48";"Som";174;72;15.3;11.3;NA;0;"ribe"
"49";"Šcuka";85;79;17.4;1.7;NA;0;"ribe"
"50";"Kovac";77;79;16.2;0.9;70;1.2;"ribe"
"51";"List";83;78;15.9;1.7;57;0.9;"ribe"
"52";"Oslic";71;82;17;0.3;46;0.1;"ribe"
"53";"Morski pes";80;78;16;1.2;70;1.3;"ribe"
"54";"Skuša";184;68;19;12;70;0;"ribe"
"55";"Sardela";98;75;17.4;3.2;60;0;"ribe"
"56";"Tuna";225;62;21.5;15.5;52;0;"ribe"
"57";"Lignji";77;81;16;1;NA;1;"ribe"
"58";"Hobotnica";73;82;15.3;0.8;170;0.8;"ribe"
"59";"Sardine v olju";330;49;19.7;28.3;80;0;"ribe"
"60";"Tunina v olju";287;55;22.8;22;65;0;"ribe"
