"V1";"V2";"V3";"V4";"V5";"V6";"V7"
"2";"Losos";"217";"64,0";"22,5";"13,4";"35,0";"0"
"3";"Postrv, kalifornijska";"195";"66,0";"21,5";"11,4";"55,0";"0"
"4";"Postrv, potocna";"86";"80,0";"14,7";"3";"55,0";"0"
"5";"Som";"174";"72,0";"15,3";"11,3";"–";"0"
"6";"Šcuka";"85";"79,0";"17,4";"1,7";"–";"0"
"7";"Kovac";"77";"79,0";"16,2";"0,9";"70,0";"1,2"
"8";"List";"83";"78,0";"15,9";"1,7";"57,0";"0,9"
"9";"Oslic";"71";"82,0";"17,0";"0,3";"46,0";"0,1"
"10";"Morski pes";"80";"78,0";"16,0";"1,2";"70,0";"1,3"
"11";"Skuša";"184";"68,0";"19,0";"12";"70,0";"0"
"12";"Sardela";"98";"75,0";"17,4";"3,2";"60,0";"0"
"13";"Tuna";"225";"62,0";"21,5";"15,5";"52,0";"0"
"14";"Lignji";"77";"81,0";"16,0";"1";"–";"1"
"15";"Hobotnica";"73";"82,0";"15,3";"0,8";"170,0";"0,8"
"16";"Sardine v olju";"330";"49,0";"19,7";"28,3";"80,0";"0"
"17";"Tunina v olju";"287";"55,0";"22,8";"22";"65,0";"0"
