"V1";"V2";"V3";"V4";"V5";"V6";"V7"
"2";"Blitva";"12";"94,0";"1,3";"0,1";"0,0";"1,5"
"3";"Zelena";"12";"90,0";"1,0";"0";"0,0";"2"
"4";"Endivija";"11";"93,0";"0,9";"0,3";"0,0";"1,1"
"5";"Ohrovt";"26";"90,0";"3,3";"0,1";"0,0";"3,3"
"6";"Zelje, glavnato, belo";"22";"90,0";"1,9";"0,1";"0,0";"3,8"
"7";"Zelje, glavnato, rdece";"20";"90,0";"1,7";"0,1";"0,0";"3,5"
"8";"Zelje, kitajsko";"12";"95,0";"1,0";"0";"0,0";"2"
"9";"Regrat";"45";"86,0";"2,7";"0,7";"0,0";"7,7"
"10";"Motovilec";"20";"94,0";"2,0";"0";"0,0";"3"
"11";"Peteršilj";"20";"87,0";"4,0";"0";"0,0";"1"
"12";"Radic, rdeci";"12";"95,0";"1,2";"0";"0,0";"1,7"
"13";"Radic, zeleni";"24";"90,0";"1,8";"0,5";"0,0";"3,2"
"14";"Solata, glavnata";"12";"96,0";"1,0";"0,4";"0,0";"1,2"
"15";"Solata, zelena";"14";"96,0";"1,1";"0,1";"0,0";"2,2"
"16";"Špinaca";"12";"92,0";"2,0";"0";"0,0";"1"
"17";"Rabarbara";"12";"93,0";"1,0";"0";"0,0";"2"
"18";"Articoka";"17";"86,0";"1,7";"0,2";"0,0";"2,3"
"19";"Brokoli";"25";"90,0";"3,0";"0,4";"0,0";"2,5"
"20";"Cvetaca, cvet";"25";"90,0";"3,2";"0,2";"0,0";"2,7"
"21";"Grah, zrnje";"67";"79,0";"5,8";"0,4";"0,0";"10,6"
"22";"Fižol, sveži";"143";"65,0";"10,1";"1,5";"0,0";"21,8"
"23";"Buce";"15";"95,0";"0,6";"sl,";"0,0";"3,4"
"24";"Kumare";"14";"96,0";"0,7";"0,5";"0,0";"1,8"
"25";"Paprika, rumena";"22";"93,0";"0,2";"0,3";"0,0";"5"
"26";"Paprika, zelena";"16";"94,0";"0,5";"0,3";"0,0";"3,1"
"27";"Paradižnik";"14";"93,0";"0,9";"0";"0,0";"2,8"
"28";"Šparglji";"21";"92,0";"3,0";"0,1";"0,0";"2,3"
"29";"Cebula, bela";"35";"87,0";"0,9";"sl,";"0,0";"8,5"
"30";"Cebula, rdeca";"23";"93,0";"0,9";"sl,";"0,0";"5,2"
"31";"Cesen";"136";"64,0";"6,0";"0";"0,0";"28"
"32";"Por";"28";"90,0";"2,0";"0";"0,0";"5"
"33";"Krompir";"87";"76,0";"2,1";"0,1";"0,0";"20,8"
"34";"Pesa, kuhana";"32";"91,0";"1,1";"0,1";"0,0";"7"
"35";"Kumarice, kisle";"10";"95,0";"0,5";"0,2";"0,0";"2"
"36";"Zelje, kislo";"20";"92,0";"2,0";"0,3";"0,0";"3"
"37";"Repa, kisla";"20";"92,0";"2,0";"0,3";"0,0";"3"
"38";"Paprika, kisla";"15";"90,0";"0,8";"0,6";"0,0";"1,7"
"39";"Paradižnik, kecap";"140";"65,0";"1,0";"0";"0,0";"34"
"40";"Paradižnik, mezga";"39";"87,0";"1,7";"0";"0,0";"7"
